Date,Light,Trial,Temp,color,Wavelength (guess),No.germ,germ,per.germ
11-Jul,high,1,18,all,1000,92,8,8
11-Jul,high,1,18,all,1000,92,8,8
11-Jul,high,1,18,all,1000,94,6,6
11-Jul,high,1,18,all,1000,92,8,8
11-Jul,high,1,18,all,1000,91,9,9
11-Jul,high,1,18,all,1000,89,11,11
11-Jul,high,1,18,all,1000,88,12,12
11-Jul,high,1,18,all,1000,82,18,18
11-Jul,high,1,18,all,1000,82,18,18
11-Jul,high,1,18,all,1000,92,8,8
11-Jul,high,1,18,green,550,100,0,0
11-Jul,high,1,18,green,550,95,5,5
11-Jul,high,1,18,green,550,99,1,1
11-Jul,high,1,18,green,550,98,2,2
11-Jul,high,1,18,green,550,97,3,3
11-Jul,high,1,18,green,550,98,2,2
11-Jul,high,1,18,green,550,100,0,0
11-Jul,high,1,18,green,550,99,1,1
11-Jul,high,1,18,green,550,94,6,6
11-Jul,high,1,18,green,550,98,2,2
11-Jul,high,1,18,blue,475,92,8,8
11-Jul,high,1,18,blue,475,96,4,4
11-Jul,high,1,18,blue,475,88,12,12
11-Jul,high,1,18,blue,475,92,8,8
11-Jul,high,1,18,blue,475,98,2,2
11-Jul,high,1,18,blue,475,97,3,3
11-Jul,high,1,18,blue,475,97,3,3
11-Jul,high,1,18,blue,475,93,7,7
11-Jul,high,1,18,blue,475,91,9,9
11-Jul,high,1,18,blue,475,92,8,8
11-Jul,high,1,18,black,0,82,18,18
11-Jul,high,1,18,black,0,60,40,40
11-Jul,high,1,18,black,0,76,24,24
11-Jul,high,1,18,black,0,85,15,15
11-Jul,high,1,18,black,0,74,26,26
11-Jul,high,1,18,black,0,64,36,36
11-Jul,high,1,18,black,0,80,20,20
11-Jul,high,1,18,black,0,75,25,25
11-Jul,high,1,18,black,0,79,21,21
11-Jul,high,1,18,black,0,78,22,22
11-Jul,high,1,18,red,700,82,18,18
11-Jul,high,1,18,red,700,81,19,19
11-Jul,high,1,18,red,700,68,32,32
11-Jul,high,1,18,red,700,68,32,32
11-Jul,high,1,18,red,700,83,17,17
11-Jul,high,1,18,red,700,75,25,25
11-Jul,high,1,18,red,700,73,27,27
11-Jul,high,1,18,red,700,76,24,24
11-Jul,high,1,18,red,700,69,31,31
11-Jul,high,1,18,red,700,64,36,36
11-Jul,high,1,18,yellow,580,82,18,18
11-Jul,high,1,18,yellow,580,64,36,36
11-Jul,high,1,18,yellow,580,83,17,17
11-Jul,high,1,18,yellow,580,69,31,31
11-Jul,high,1,18,yellow,580,77,23,23
11-Jul,high,1,18,yellow,580,76,24,24
11-Jul,high,1,18,yellow,580,72,28,28
11-Jul,high,1,18,yellow,580,73,27,27
11-Jul,high,1,18,yellow,580,67,33,33
11-Jul,high,1,18,yellow,580,80,20,20
12-Jul,high,2,18,all,1000,64,36,36
12-Jul,high,2,18,all,1000,78,22,22
12-Jul,high,2,18,all,1000,81,19,19
12-Jul,high,2,18,all,1000,72,28,28
12-Jul,high,2,18,all,1000,89,11,11
12-Jul,high,2,18,all,1000,70,30,30
12-Jul,high,2,18,all,1000,81,19,19
12-Jul,high,2,18,all,1000,72,28,28
12-Jul,high,2,18,all,1000,84,16,16
12-Jul,high,2,18,all,1000,84,16,16
12-Jul,high,2,18,green,550,87,13,13
12-Jul,high,2,18,green,550,88,12,12
12-Jul,high,2,18,green,550,98,2,2
12-Jul,high,2,18,green,550,86,14,14
12-Jul,high,2,18,green,550,98,2,2
12-Jul,high,2,18,green,550,94,6,6
12-Jul,high,2,18,green,550,91,9,9
12-Jul,high,2,18,green,550,89,11,11
12-Jul,high,2,18,green,550,86,14,14
12-Jul,high,2,18,green,550,86,14,14
12-Jul,high,2,18,blue,475,79,21,21
12-Jul,high,2,18,blue,475,88,12,12
12-Jul,high,2,18,blue,475,92,8,8
12-Jul,high,2,18,blue,475,86,14,14
12-Jul,high,2,18,blue,475,88,12,12
12-Jul,high,2,18,blue,475,87,13,13
12-Jul,high,2,18,blue,475,82,18,18
12-Jul,high,2,18,blue,475,82,18,18
12-Jul,high,2,18,blue,475,88,12,12
12-Jul,high,2,18,blue,475,95,5,5
12-Jul,high,2,18,black,0,69,31,31
12-Jul,high,2,18,black,0,74,26,26
12-Jul,high,2,18,black,0,79,21,21
12-Jul,high,2,18,black,0,78,22,22
12-Jul,high,2,18,black,0,82,18,18
12-Jul,high,2,18,black,0,69,31,31
12-Jul,high,2,18,black,0,62,38,38
12-Jul,high,2,18,black,0,66,34,34
12-Jul,high,2,18,black,0,80,20,20
12-Jul,high,2,18,black,0,78,22,22
12-Jul,high,2,18,red,700,78,22,22
12-Jul,high,2,18,red,700,70,30,30
12-Jul,high,2,18,red,700,83,17,17
12-Jul,high,2,18,red,700,69,31,31
12-Jul,high,2,18,red,700,68,32,32
12-Jul,high,2,18,red,700,41,59,59
12-Jul,high,2,18,red,700,59,41,41
12-Jul,high,2,18,red,700,72,28,28
12-Jul,high,2,18,red,700,59,41,41
12-Jul,high,2,18,red,700,51,49,49
12-Jul,high,2,18,red,700,87,13,13
12-Jul,high,2,18,yellow,580,67,33,33
12-Jul,high,2,18,yellow,580,66,34,34
12-Jul,high,2,18,yellow,580,64,36,36
12-Jul,high,2,18,yellow,580,82,18,18
12-Jul,high,2,18,yellow,580,46,54,54
12-Jul,high,2,18,yellow,580,51,49,49
12-Jul,high,2,18,yellow,580,51,49,49
12-Jul,high,2,18,yellow,580,50,50,50
12-Jul,high,2,18,yellow,580,52,48,48
12-Jul,high,2,18,yellow,580,36,64,64
13-Jul,high,3,4,all,1000,63,37,37
13-Jul,high,3,4,all,1000,45,55,55
13-Jul,high,3,4,all,1000,58,42,42
13-Jul,high,3,4,all,1000,59,41,41
13-Jul,high,3,4,all,1000,31,69,69
13-Jul,high,3,4,all,1000,61,39,39
13-Jul,high,3,4,all,1000,66,34,34
13-Jul,high,3,4,all,1000,62,38,38
13-Jul,high,3,4,all,1000,72,28,28
13-Jul,high,3,4,all,1000,54,46,46
13-Jul,high,3,4,green,550,56,44,44
13-Jul,high,3,4,green,550,61,39,39
13-Jul,high,3,4,green,550,73,27,27
13-Jul,high,3,4,green,550,51,49,49
13-Jul,high,3,4,green,550,64,36,36
13-Jul,high,3,4,green,550,78,22,22
13-Jul,high,3,4,green,550,72,28,28
13-Jul,high,3,4,green,550,68,32,32
13-Jul,high,3,4,green,550,52,48,48
13-Jul,high,3,4,green,550,61,39,39
13-Jul,high,3,4,blue,475,55,45,45
13-Jul,high,3,4,blue,475,81,19,19
13-Jul,high,3,4,blue,475,58,42,42
13-Jul,high,3,4,blue,475,57,43,43
13-Jul,high,3,4,blue,475,74,26,26
13-Jul,high,3,4,blue,475,65,35,35
13-Jul,high,3,4,blue,475,80,20,20
13-Jul,high,3,4,blue,475,55,45,45
13-Jul,high,3,4,blue,475,75,25,25
13-Jul,high,3,4,blue,475,40,60,60
13-Jul,high,3,4,black,0,60,40,40
13-Jul,high,3,4,black,0,30,70,70
13-Jul,high,3,4,black,0,31,69,69
13-Jul,high,3,4,black,0,48,52,52
13-Jul,high,3,4,black,0,51,49,49
13-Jul,high,3,4,black,0,8,92,92
13-Jul,high,3,4,black,0,51,49,49
13-Jul,high,3,4,black,0,45,55,55
13-Jul,high,3,4,black,0,1,99,99
13-Jul,high,3,4,black,0,32,68,68
13-Jul,high,3,4,red,700,53,47,47
13-Jul,high,3,4,red,700,53,47,47
13-Jul,high,3,4,red,700,31,69,69
13-Jul,high,3,4,red,700,29,71,71
13-Jul,high,3,4,red,700,31,69,69
13-Jul,high,3,4,red,700,38,62,62
13-Jul,high,3,4,red,700,57,43,43
13-Jul,high,3,4,red,700,53,47,47
13-Jul,high,3,4,red,700,41,59,59
13-Jul,high,3,4,red,700,27,73,73
13-Jul,high,3,4,yellow,580,4,96,96
13-Jul,high,3,4,yellow,580,22,78,78
13-Jul,high,3,4,yellow,580,25,75,75
13-Jul,high,3,4,yellow,580,21,79,79
13-Jul,high,3,4,yellow,580,35,65,65
13-Jul,high,3,4,yellow,580,55,45,45
13-Jul,high,3,4,yellow,580,51,49,49
13-Jul,high,3,4,yellow,580,42,58,58
13-Jul,high,3,4,yellow,580,35,65,65
13-Jul,high,3,4,yellow,580,32,68,68
14-Jul,high,4,4,all,1000,75,25,25
14-Jul,high,4,4,all,1000,63,37,37
14-Jul,high,4,4,all,1000,60,40,40
14-Jul,high,4,4,all,1000,70,30,30
14-Jul,high,4,4,all,1000,79,21,21
14-Jul,high,4,4,all,1000,82,18,18
14-Jul,high,4,4,all,1000,68,32,32
14-Jul,high,4,4,all,1000,77,23,23
14-Jul,high,4,4,all,1000,84,16,16
14-Jul,high,4,4,all,1000,77,23,23
14-Jul,high,4,4,green,550,83,17,17
14-Jul,high,4,4,green,550,72,28,28
14-Jul,high,4,4,green,550,81,19,19
14-Jul,high,4,4,green,550,58,42,42
14-Jul,high,4,4,green,550,71,29,29
14-Jul,high,4,4,green,550,76,24,24
14-Jul,high,4,4,green,550,82,18,18
14-Jul,high,4,4,green,550,74,26,26
14-Jul,high,4,4,green,550,64,36,36
14-Jul,high,4,4,green,550,70,30,30
14-Jul,high,4,4,blue,475,76,24,24
14-Jul,high,4,4,blue,475,91,9,9
14-Jul,high,4,4,blue,475,55,45,45
14-Jul,high,4,4,blue,475,90,10,10
14-Jul,high,4,4,blue,475,85,15,15
14-Jul,high,4,4,blue,475,83,17,17
14-Jul,high,4,4,blue,475,81,19,19
14-Jul,high,4,4,blue,475,93,7,7
14-Jul,high,4,4,blue,475,83,17,17
14-Jul,high,4,4,blue,475,83,17,17
14-Jul,high,4,4,black,0,56,44,44
14-Jul,high,4,4,black,0,60,40,40
14-Jul,high,4,4,black,0,56,44,44
14-Jul,high,4,4,black,0,60,40,40
14-Jul,high,4,4,black,0,61,39,39
14-Jul,high,4,4,black,0,62,38,38
14-Jul,high,4,4,black,0,43,57,57
14-Jul,high,4,4,black,0,58,42,42
14-Jul,high,4,4,black,0,69,31,31
14-Jul,high,4,4,black,0,35,65,65
14-Jul,high,4,4,red,700,65,35,35
14-Jul,high,4,4,red,700,47,53,53
14-Jul,high,4,4,red,700,63,37,37
14-Jul,high,4,4,red,700,31,69,69
14-Jul,high,4,4,red,700,56,44,44
14-Jul,high,4,4,red,700,73,27,27
14-Jul,high,4,4,red,700,72,28,28
14-Jul,high,4,4,red,700,66,34,34
14-Jul,high,4,4,red,700,66,34,34
14-Jul,high,4,4,red,700,56,44,44
14-Jul,high,4,4,yellow,580,47,53,53
14-Jul,high,4,4,yellow,580,41,59,59
14-Jul,high,4,4,yellow,580,39,61,61
14-Jul,high,4,4,yellow,580,16,84,84
14-Jul,high,4,4,yellow,580,24,76,76
14-Jul,high,4,4,yellow,580,43,57,57
14-Jul,high,4,4,yellow,580,39,61,61
14-Jul,high,4,4,yellow,580,23,77,77
14-Jul,high,4,4,yellow,580,49,51,51
14-Jul,high,4,4,yellow,580,52,48,48
15-Jul,low,5,4,all,1000,57,43,43
15-Jul,low,5,4,all,1000,67,33,33
15-Jul,low,5,4,all,1000,40,60,60
15-Jul,low,5,4,all,1000,79,21,21
15-Jul,low,5,4,all,1000,60,40,40
15-Jul,low,5,4,all,1000,74,26,26
15-Jul,low,5,4,all,1000,44,56,56
15-Jul,low,5,4,all,1000,45,55,55
15-Jul,low,5,4,all,1000,65,35,35
15-Jul,low,5,4,all,1000,61,39,39
15-Jul,low,5,4,green,550,55,45,45
15-Jul,low,5,4,green,550,45,55,55
15-Jul,low,5,4,green,550,61,39,39
15-Jul,low,5,4,green,550,75,25,25
15-Jul,low,5,4,green,550,66,34,34
15-Jul,low,5,4,green,550,74,26,26
15-Jul,low,5,4,green,550,90,10,10
15-Jul,low,5,4,green,550,50,50,50
15-Jul,low,5,4,green,550,66,34,34
15-Jul,low,5,4,green,550,55,45,45
15-Jul,low,5,4,blue,475,71,29,29
15-Jul,low,5,4,blue,475,82,18,18
15-Jul,low,5,4,blue,475,55,45,45
15-Jul,low,5,4,blue,475,54,46,46
15-Jul,low,5,4,blue,475,80,20,20
15-Jul,low,5,4,blue,475,79,21,21
15-Jul,low,5,4,blue,475,54,46,46
15-Jul,low,5,4,blue,475,87,13,13
15-Jul,low,5,4,blue,475,71,29,29
15-Jul,low,5,4,blue,475,55,45,45
15-Jul,low,5,4,black,0,57,43,43
15-Jul,low,5,4,black,0,48,52,52
15-Jul,low,5,4,black,0,61,39,39
15-Jul,low,5,4,black,0,40,60,60
15-Jul,low,5,4,black,0,45,55,55
15-Jul,low,5,4,black,0,54,46,46
15-Jul,low,5,4,black,0,74,26,26
15-Jul,low,5,4,black,0,37,63,63
15-Jul,low,5,4,black,0,46,54,54
15-Jul,low,5,4,black,0,57,43,43
15-Jul,low,5,4,red,700,61,39,39
