Plate Date,Isolate,Trial,temp,no germ,germ,per_germ
6/16/2015,DNM001,1,5,30,70,70
6/16/2015,DNM001,1,5,36,67,65
6/16/2015,DNM001,1,5,11,39,78
6/16/2015,DNM001,1,5,27,90,77
6/16/2015,DNM001,1,5,29,80,73
6/16/2015,DNM001,1,5,36,134,79
6/16/2015,DNM001,1,5,24,78,76
6/16/2015,DNM001,1,5,17,89,84
6/16/2015,DNM001,1,10,33,78,70
6/16/2015,DNM001,1,10,25,58,70
6/16/2015,DNM001,1,10,36,63,64
6/16/2015,DNM001,1,10,37,91,71
6/16/2015,DNM001,1,10,19,71,79
6/16/2015,DNM001,1,10,42,116,73
6/16/2015,DNM001,1,10,20,59,75
6/16/2015,DNM001,1,10,17,43,72
6/16/2015,DNM001,1,15,63,63,50
6/16/2015,DNM001,1,15,47,48,51
6/16/2015,DNM001,1,15,37,46,55
6/16/2015,DNM001,1,15,64,48,43
6/16/2015,DNM001,1,15,51,74,59
6/16/2015,DNM001,1,15,59,54,48
6/16/2015,DNM001,1,15,45,52,54
6/16/2015,DNM001,1,15,34,42,55
6/16/2015,DNM001,1,20,23,6,21
6/16/2015,DNM001,1,20,64,21,25
6/16/2015,DNM001,1,20,48,20,29
6/16/2015,DNM001,1,20,61,14,19
6/16/2015,DNM001,1,20,74,29,28
6/16/2015,DNM001,1,20,103,24,19
6/16/2015,DNM001,1,20,101,12,11
6/16/2015,DNM001,1,20,77,13,14
6/16/2015,DNM001,1,25,69,7,9
6/16/2015,DNM001,1,25,75,6,7
6/16/2015,DNM001,1,25,90,21,19
6/16/2015,DNM001,1,25,67,7,9
6/16/2015,DNM001,1,25,98,8,8
6/16/2015,DNM001,1,25,45,3,6
6/16/2015,DNM001,1,25,75,4,5
6/16/2015,DNM001,1,25,80,1,1
6/17/2015,DNM001,2,5,29,71,71
6/17/2015,DNM001,2,5,25,75,75
6/17/2015,DNM001,2,5,30,70,70
6/17/2015,DNM001,2,5,28,72,72
6/17/2015,DNM001,2,5,19,81,81
6/17/2015,DNM001,2,5,29,71,71
6/17/2015,DNM001,2,5,14,86,86
6/17/2015,DNM001,2,5,31,69,69
6/17/2015,DNM001,2,10,25,75,75
6/17/2015,DNM001,2,10,32,68,68
6/17/2015,DNM001,2,10,35,65,65
6/17/2015,DNM001,2,10,28,72,72
6/17/2015,DNM001,2,10,40,60,60
6/17/2015,DNM001,2,10,28,72,72
6/17/2015,DNM001,2,10,32,68,68
6/17/2015,DNM001,2,10,27,73,73
6/17/2015,DNM001,2,15,47,53,53
6/17/2015,DNM001,2,15,46,54,54
6/17/2015,DNM001,2,15,43,57,57
6/17/2015,DNM001,2,15,41,59,59
6/17/2015,DNM001,2,15,42,58,58
6/17/2015,DNM001,2,15,41,59,59
6/17/2015,DNM001,2,15,40,60,60
6/17/2015,DNM001,2,15,42,58,58
6/17/2015,DNM001,2,20,75,25,25
6/17/2015,DNM001,2,20,76,24,24
6/17/2015,DNM001,2,20,89,11,11
6/17/2015,DNM001,2,20,78,22,22
6/17/2015,DNM001,2,20,80,20,20
6/17/2015,DNM001,2,20,92,8,8
6/17/2015,DNM001,2,20,89,11,11
6/17/2015,DNM001,2,20,84,16,16
6/17/2015,DNM001,2,25,85,15,15
6/17/2015,DNM001,2,25,86,14,14
6/17/2015,DNM001,2,25,92,8,8
6/17/2015,DNM001,2,25,91,9,9
6/17/2015,DNM001,2,25,93,7,7
6/17/2015,DNM001,2,25,91,9,9
