Wavelength,Value,Boxcolor,Lightintensity
338,0.00E+00,blue,low
338.5,0.00E+00,blue,low
339,0.00E+00,blue,low
339.5,0.00E+00,blue,low
340,0.00E+00,blue,low
340.5,0.00E+00,blue,low
341,0.00E+00,blue,low
341.5,0.00E+00,blue,low
342,0.00E+00,blue,low
342.5,0.00E+00,blue,low
343,0.00E+00,blue,low
343.5,0.00E+00,blue,low
344,0.00E+00,blue,low
344.5,0.00E+00,blue,low
345,0.00E+00,blue,low
345.5,0.00E+00,blue,low
346,0.00E+00,blue,low
346.5,0.00E+00,blue,low
347,0.00E+00,blue,low
347.5,0.00E+00,blue,low
348,0.00E+00,blue,low
348.5,0.00E+00,blue,low
349,0.00E+00,blue,low
349.5,0.00E+00,blue,low
350,4.07E-07,blue,low
350.5,1.88E-03,blue,low
351,1.83E-03,blue,low
351.5,2.35E-03,blue,low
352,1.94E-03,blue,low
352.5,1.92E-03,blue,low
353,1.61E-03,blue,low
353.5,1.35E-03,blue,low
354,2.00E-03,blue,low
354.5,7.73E-04,blue,low
355,2.35E-04,blue,low
355.5,2.74E-04,blue,low
356,3.78E-04,blue,low
356.5,1.63E-03,blue,low
357,4.34E-04,blue,low
357.5,8.51E-04,blue,low
358,5.42E-04,blue,low
358.5,1.22E-04,blue,low
359,2.91E-04,blue,low
359.5,1.15E-03,blue,low
360,2.26E-03,blue,low
360.5,3.45E-03,blue,low
361,1.62E-03,blue,low
361.5,2.62E-03,blue,low
362,2.82E-03,blue,low
362.5,6.26E-03,blue,low
363,1.16E-02,blue,low
363.5,1.71E-02,blue,low
364,2.08E-02,blue,low
364.5,2.42E-02,blue,low
365,2.18E-02,blue,low
365.5,1.75E-02,blue,low
366,1.38E-02,blue,low
366.5,1.02E-02,blue,low
367,7.87E-03,blue,low
367.5,5.94E-03,blue,low
368,4.67E-03,blue,low
368.5,4.20E-03,blue,low
369,4.03E-03,blue,low
369.5,4.29E-03,blue,low
370,3.18E-03,blue,low
370.5,3.62E-03,blue,low
371,3.51E-03,blue,low
371.5,3.53E-03,blue,low
372,3.44E-03,blue,low
372.5,3.76E-03,blue,low
373,4.20E-03,blue,low
373.5,3.57E-03,blue,low
374,4.83E-03,blue,low
374.5,4.81E-03,blue,low
375,5.90E-03,blue,low
375.5,6.41E-03,blue,low
376,6.05E-03,blue,low
376.5,6.26E-03,blue,low
377,5.80E-03,blue,low
377.5,5.96E-03,blue,low
378,6.88E-03,blue,low
378.5,6.68E-03,blue,low
379,7.10E-03,blue,low
379.5,7.31E-03,blue,low
380,7.14E-03,blue,low
380.5,7.63E-03,blue,low
381,8.26E-03,blue,low
381.5,8.70E-03,blue,low
382,9.17E-03,blue,low
382.5,9.99E-03,blue,low
383,1.08E-02,blue,low
383.5,1.06E-02,blue,low
384,1.10E-02,blue,low
384.5,1.16E-02,blue,low
385,1.13E-02,blue,low
385.5,1.20E-02,blue,low
386,1.19E-02,blue,low
386.5,1.25E-02,blue,low
387,1.26E-02,blue,low
387.5,1.33E-02,blue,low
388,1.35E-02,blue,low
388.5,1.48E-02,blue,low
389,1.54E-02,blue,low
389.5,1.58E-02,blue,low
390,1.61E-02,blue,low
390.5,1.71E-02,blue,low
391,1.75E-02,blue,low
391.5,1.81E-02,blue,low
392,1.86E-02,blue,low
392.5,1.92E-02,blue,low
393,1.99E-02,blue,low
393.5,2.01E-02,blue,low
394,2.07E-02,blue,low
394.5,2.14E-02,blue,low
395,2.21E-02,blue,low
395.5,2.32E-02,blue,low
396,2.41E-02,blue,low
396.5,2.50E-02,blue,low
397,2.56E-02,blue,low
397.5,2.64E-02,blue,low
398,2.69E-02,blue,low
398.5,2.80E-02,blue,low
399,2.90E-02,blue,low
399.5,3.01E-02,blue,low
400,3.08E-02,blue,low
400.5,3.24E-02,blue,low
401,3.50E-02,blue,low
401.5,4.30E-02,blue,low
402,6.98E-02,blue,low
402.5,1.32E-01,blue,low
403,2.43E-01,blue,low
403.5,3.72E-01,blue,low
404,4.57E-01,blue,low
404.5,4.57E-01,blue,low
405,3.90E-01,blue,low
405.5,2.96E-01,blue,low
406,2.26E-01,blue,low
406.5,1.83E-01,blue,low
407,1.57E-01,blue,low
