Plate Date,Trial,Hour,temp,no germ,germ,per_germ
13-Jul,1,4,5,48,52,52
13-Jul,1,4,5,94,6,6
13-Jul,1,4,5,87,13,13
13-Jul,1,4,5,57,43,43
13-Jul,1,4,5,63,37,37
13-Jul,1,4,5,44,56,56
13-Jul,1,4,5,76,24,24
13-Jul,1,4,5,35,65,65
13-Jul,1,4,5,78,22,22
13-Jul,1,4,5,43,57,57
13-Jul,1,4,10,63,37,37
13-Jul,1,4,10,90,10,10
13-Jul,1,4,10,90,10,10
13-Jul,1,4,10,91,9,9
13-Jul,1,4,10,97,3,3
13-Jul,1,4,10,83,17,17
13-Jul,1,4,10,90,10,10
13-Jul,1,4,10,87,13,13
13-Jul,1,4,10,83,17,17
13-Jul,1,4,10,82,18,18
13-Jul,1,4,15,93,7,7
13-Jul,1,4,15,88,12,12
13-Jul,1,4,15,93,7,7
13-Jul,1,4,15,90,10,10
13-Jul,1,4,15,86,14,14
13-Jul,1,4,15,90,10,10
13-Jul,1,4,15,86,14,14
13-Jul,1,4,15,90,10,10
13-Jul,1,4,15,91,9,9
13-Jul,1,4,15,97,3,3
13-Jul,1,4,20,92,8,8
13-Jul,1,4,20,90,10,10
13-Jul,1,4,20,91,9,9
13-Jul,1,4,20,94,6,6
13-Jul,1,4,20,90,10,10
13-Jul,1,4,20,88,12,12
13-Jul,1,4,20,93,7,7
13-Jul,1,4,20,90,10,10
13-Jul,1,4,20,91,9,9
13-Jul,1,4,20,95,5,5
13-Jul,1,4,25,100,0,0
13-Jul,1,4,25,97,3,3
13-Jul,1,4,25,98,2,2
13-Jul,1,4,25,99,1,1
13-Jul,1,4,25,97,3,3
13-Jul,1,4,25,96,4,4
13-Jul,1,4,25,96,4,4
13-Jul,1,4,25,98,2,2
13-Jul,1,4,25,97,3,3
13-Jul,1,4,25,95,5,5
13-Jul,1,8,5,43,57,57
13-Jul,1,8,5,66,34,34
13-Jul,1,8,5,68,32,32
13-Jul,1,8,5,27,73,73
13-Jul,1,8,5,38,62,62
13-Jul,1,8,5,31,69,69
13-Jul,1,8,5,43,57,57
13-Jul,1,8,5,36,64,64
13-Jul,1,8,5,35,65,65
13-Jul,1,8,5,32,68,68
13-Jul,1,8,10,71,29,29
13-Jul,1,8,10,90,10,10
13-Jul,1,8,10,84,16,16
13-Jul,1,8,10,85,15,15
13-Jul,1,8,10,85,15,15
13-Jul,1,8,10,82,18,18
13-Jul,1,8,10,68,32,32
13-Jul,1,8,10,86,14,14
13-Jul,1,8,10,70,30,30
13-Jul,1,8,10,72,28,28
13-Jul,1,8,15,84,16,16
13-Jul,1,8,15,83,17,17
13-Jul,1,8,15,79,21,21
13-Jul,1,8,15,80,20,20
13-Jul,1,8,15,79,21,21
13-Jul,1,8,15,86,14,14
13-Jul,1,8,15,87,13,13
13-Jul,1,8,15,85,15,15
13-Jul,1,8,15,85,15,15
13-Jul,1,8,15,88,12,12
13-Jul,1,8,20,88,12,12
13-Jul,1,8,20,85,15,15
13-Jul,1,8,20,89,11,11
13-Jul,1,8,20,91,9,9
13-Jul,1,8,20,89,11,11
13-Jul,1,8,20,90,10,10
13-Jul,1,8,20,90,10,10
13-Jul,1,8,20,90,10,10
13-Jul,1,8,20,87,13,13
13-Jul,1,8,20,88,12,12
13-Jul,1,8,25,96,4,4
13-Jul,1,8,25,94,6,6
13-Jul,1,8,25,95,5,5
13-Jul,1,8,25,96,4,4
13-Jul,1,8,25,95,5,5
13-Jul,1,8,25,92,8,8
13-Jul,1,8,25,93,7,7
